"Muutos-
tyypin 
tunnus";"Pää-
tyyppi";"Ali-
tyyppi";Termi erikoisontologiassa; Linkki erikoisontologian käsitteeseen;Erikoisontologian käsitteen lkm nyt;Erikoisontologian käsitteen lkm alun perin;Ala-käsitteiden määrä;Käsitetyyppi erikoisontologiassa;Suhdetyyppi;Liityntä-kohdan muutos;Termi erikoisontologian vanhassa YSOssa;YSO-käsitteen lkm nyt;YSO-käsitteen lkm alun perin;Käsitetyyppi YSOssa;YSOssa tapahtuneen muutoksen kuvaus;Linkki erikoisontologian YSO-käsitteeseen;Linkki käsitteeseen uudessa YSOssa;
1.1;1;1;kilpailuneutraliteetti;juho:p13904;1;1;;juho-meta:Concept;Ei suhdetta;;kilpailuneutraliteetti;1;1;yso-meta:Concept;Uudella YSO käsitteellä 'kilpailuneutraliteetti' (yso:p040894) on sama prefLabel kuin erikoisontologian käsitteellä;yso:p040894;yso:p040894;ok
1.1;1;1;monipaikkaisuus;juho:p14246;1;1;;juho-meta:Concept;Ei suhdetta;;monipaikkaisuus;1;1;yso-meta:Concept;Uudella YSO käsitteellä 'monipaikkaisuus' (yso:p40533) on sama prefLabel kuin erikoisontologian käsitteellä;yso:p40533;yso:p40533;
1.1;1;1;ravinnekuormitus;juho:p14265;1;1;;juho-meta:Concept;Ei suhdetta;;ravinnekuormitus;1;1;yso-meta:Concept;Uudella YSO käsitteellä 'ravinnekuormitus' (yso:p40536) on sama prefLabel kuin erikoisontologian käsitteellä;yso:p40536;yso:p40536;
1.1;1;1;kaksikäyttötuotteet;juho:p2035;3;3;;juho-meta:Concept;Ei suhdetta;;kaksikäyttötuotteet;1;1;yso-meta:Concept;Uudella YSO käsitteellä 'kaksikäyttötuotteet' (yso:p40752) on sama prefLabel kuin erikoisontologian käsitteellä;yso:p40752;yso:p40752;
1.1;1;1;alueellinen koskemattomuus;juho:p988;1;1;;juho-meta:Concept;Ei suhdetta;;alueellinen koskemattomuus;1;1;yso-meta:Concept;Uudella YSO käsitteellä 'alueellinen koskemattomuus' (yso:p040897) on sama prefLabel kuin erikoisontologian käsitteellä;yso:p040897;yso:p040897;ok
2.1;2;1;maatalouslomitus;juho:p1821;5;5;;juho-meta:Concept;Ei suhdetta;;lomitus;4;4;yso-meta:Concept;'lomitus' (yso:p7618) käsitteen uusi prefLabel on sama kuin erikoisontologian käsitteellä;yso:p7618;yso:p7618;ok
2.2;2;2;maatalouslomitus;juho:p1821;5;5;;juho-meta:Concept;rdfs:subClassOf;kyllä;lomitus;4;4;yso-meta:Concept;'lomitus' (yso:p7618) käsitteen prefLabel on muuttunut -> 'maatalouslomitus';yso:p7618;yso:p7618;ok
2.2;2;2;tasavallan presidentit;juho:p2760;2;2;;juho-meta:Concept;rdfs:subClassOf+;ei;valtionpäämiehet;1;1;yso-meta:Concept;'valtionpäämiehet' (yso:p8251) käsitteen prefLabel on muuttunut -> 'valtionjohtajat';yso:p8251;yso:p8251;ok
2.2;2;2;savusukeltajat;juho:p7611;5;5;;juho-meta:Concept;rdfs:subClassOf;kyllä;palomiehet;3;3;yso-meta:Concept;'palomiehet' (yso:p8405) käsitteen prefLabel on muuttunut -> 'pelastajat (palo- ja pelastusala)';yso:p8405;yso:p8405;ok
3.1;3;1;lääkintävahtimestarit;juho:p10603;3;3;;juho-meta:Concept;rdfs:subClassOf;kyllä;palveluammatit;13;13;yso-meta:Concept;'palveluammatit' (yso:p1009) käsitteellä on uusi yläkäsite  'ammatit' (yso:p1179);yso:p1009;yso:p1009;
