500i-arvo (siistittynä) oranssilla omat termit,RDA label,RDA URI,Kommentit
toinen identiteetti,has alternate identity,rdaa:P50428,
todellinen identiteetti,has real identity,rdaa:P50429,
jäsen,has person member of corporate body,rdaa:P50030,
perustaja,has founding person of corporate body,rdaa:P50029,
vaihtunut sukunimi,,,"meidän oma suhdetermi ISNI-ajoja varten (tyypillinen tapaus: henkilön nimi on muuttunut, uudesta nimestä on vanhojen sääntöjen mukaan tehty uusi auktori; molemmissa auktoreissa olevat saavat saman isnin)"
myöhempi nimi,,,meidän oma suhdetermi ISNI-ajoa varten
aiempi nimi,,,meidän oma suhdetermi ISNI-ajoa varten
syntymänimi,,,meidän oma suhdetermi ISNI-ajoa varten
täydellinen nimi,,,meidän oma suhdetermi ISNI-ajoa varten
lyhyempi nimi,,,meidän oma suhdetermi ISNI-ajoa varten
uskonnollinen nimi,,,oma termi
maallikkonimi,,,oma termi
nimi suomenkielisessä julkaisussa,,,oma termi
nimi englanninkielisessä julkaisussa,,,oma termi
,,,
testisuhde,,,"testitietueen suhdetermi, jätetään pois"
"lauluduo, jäsenet mikko ja tommi huoponen (kaksoset, s. 1976)",,,KORJATTU
"kaikki pseudonyymejä, toinen identiteetti",,,KORJATTU
ainakin yhdestä huomautuskentästä puuttuu todellinen nimi,,,KORJATTU
