"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/eng","eng","en"
"http://lexvo.org/id/iso639-3/fin","fin","fi"
"http://lexvo.org/id/iso639-3/swe","swe","sv"
"http://lexvo.org/id/iso639-3/sme","sme","se"
"http://lexvo.org/id/iso639-5/son","son",
"http://lexvo.org/id/iso639-3/rus","rus","ru"
"http://lexvo.org/id/iso639-3/deu","ger","de"
"http://lexvo.org/id/iso639-3/fas","per","fa"
"http://lexvo.org/id/iso639-3/dan","dan","da"
"http://lexvo.org/id/iso639-3/nor","nor","no"
"http://lexvo.org/id/iso639-3/mul","mul",
"http://lexvo.org/id/iso639-3/ara","ara","ar"
"http://lexvo.org/id/iso639-5/smi","smi",
"http://lexvo.org/id/iso639-3/fra","fre","fr"
"http://lexvo.org/id/iso639-3/krl","krl",
"http://lexvo.org/id/iso639-3/lat","lat","la"
"http://lexvo.org/id/iso639-3/ita","ita","it"
"http://lexvo.org/id/iso639-3/zho","chi","zh"
"http://lexvo.org/id/iso639-3/epo","epo","eo"
"http://lexvo.org/id/iso639-3/spa","spa","es"
"http://lexvo.org/id/iso639-3/est","est","et"
"http://lexvo.org/id/iso639-3/sms","sms",
"http://lexvo.org/id/iso639-3/tha","tha","th"
"http://lexvo.org/id/iso639-3/hun","hun","hu"
"http://lexvo.org/id/iso639-3/wol","wol","wo"
"http://lexvo.org/id/iso639-3/jpn","jpn","ja"
"http://lexvo.org/id/iso639-3/tyv","tyv",
"http://lexvo.org/id/iso639-3/tur","tur","tr"
"http://lexvo.org/id/iso639-5/fiu","fiu",
"http://lexvo.org/id/iso639-3/und","und",
"http://lexvo.org/id/iso639-3/ces","cze","cs"
"http://lexvo.org/id/iso639-3/chu","chu","cu"
"http://lexvo.org/id/iso639-3/rom","rom",
"http://lexvo.org/id/iso639-3/srp","srp","sr"
"http://lexvo.org/id/iso639-3/nld","dut","nl"
"http://lexvo.org/id/iso639-3/som","som","so"
"http://lexvo.org/id/iso639-3/ell","gre","el"
"http://lexvo.org/id/iso639-3/smn","smn",
"http://lexvo.org/id/iso639-3/swa","swa","sw"
"http://lexvo.org/id/iso639-3/grc","grc",
"http://lexvo.org/id/iso639-3/ukr","ukr","uk"
"http://lexvo.org/id/iso639-3/por","por","pt"
"http://lexvo.org/id/iso639-3/pol","pol","pl"
"http://lexvo.org/id/iso639-3/bod","tib","bo"
"http://lexvo.org/id/iso639-3/tat","tat","tt"
"http://lexvo.org/id/iso639-3/mdf","mdf",
"http://lexvo.org/id/iso639-3/lav","lav","lv"
"http://lexvo.org/id/iso639-5/ine","ine",
"http://lexvo.org/id/iso639-3/slk","slo","sk"
"http://lexvo.org/id/iso639-3/isl","ice","is"
"http://lexvo.org/id/iso639-3/bul","bul","bg"
"http://lexvo.org/id/iso639-3/mkd","mac","mk"
"http://lexvo.org/id/iso639-3/heb","heb","he"
"http://lexvo.org/id/iso639-3/yid","yid","yi"
"http://lexvo.org/id/iso639-5/sgn","sgn",
"http://lexvo.org/id/iso639-3/kab","kab",
"http://lexvo.org/id/iso639-5/ber","ber",
"http://lexvo.org/id/iso639-3/afr","afr","af"
"http://lexvo.org/id/iso639-3/ndo","ndo","ng"
"http://lexvo.org/id/iso639-5/afa","afa",
"http://lexvo.org/id/iso639-3/chm","chm",
"http://lexvo.org/id/iso639-3/chv","chv","cv"
"http://lexvo.org/id/iso639-3/hrv","hrv","hr"
"http://lexvo.org/id/iso639-3/vie","vie","vi"
"http://lexvo.org/id/iso639-3/arc","arc",
"http://lexvo.org/id/iso639-3/lit","lit","lt"
"http://lexvo.org/id/iso639-3/den","den",
"http://lexvo.org/id/iso639-3/mal","mal","ml"
"http://lexvo.org/id/iso639-3/syc","syc",
"http://lexvo.org/id/iso639-3/kur","kur","ku"
"http://lexvo.org/id/iso639-3/hin","hin","hi"
"http://lexvo.org/id/iso639-3/urd","urd","ur"
"http://lexvo.org/id/iso639-3/udm","udm",
"http://lexvo.org/id/iso639-3/myv","myv",
"http://lexvo.org/id/iso639-3/kom","kom","kv"
"http://lexvo.org/id/iso639-3/bel","bel","be"
"http://lexvo.org/id/iso639-3/zha","zha","za"
"http://lexvo.org/id/iso639-3/orm","orm","om"
"http://lexvo.org/id/iso639-3/mon","mon","mn"
"http://lexvo.org/id/iso639-3/kor","kor","ko"
"http://lexvo.org/id/iso639-3/eus","baq","eu"
"http://lexvo.org/id/iso639-3/sma","sma",
"http://lexvo.org/id/iso639-3/mlg","mlg","mg"
"http://lexvo.org/id/iso639-3/san","san","sa"
"http://lexvo.org/id/iso639-3/slv","slv","sl"
"http://lexvo.org/id/iso639-3/glg","glg","gl"
"http://lexvo.org/id/iso639-5/bnt","bnt",
"http://lexvo.org/id/iso639-3/ron","rum","ro"
"http://lexvo.org/id/iso639-3/man","man",
"http://lexvo.org/id/iso639-3/haw","haw",
"http://lexvo.org/id/iso639-3/cym","wel","cy"
"http://lexvo.org/id/iso639-3/amh","amh","am"
"http://lexvo.org/id/iso639-3/frm","frm",
"http://lexvo.org/id/iso639-3/ava","ava","av"
"http://lexvo.org/id/iso639-3/ben","ben","bn"
"http://lexvo.org/id/iso639-3/zul","zul","zu"
"http://lexvo.org/id/iso639-3/nde","nde","nd"
"http://lexvo.org/id/iso639-3/egy","egy",
"http://lexvo.org/id/iso639-3/yor","yor","yo"
"http://lexvo.org/id/iso639-3/oci","oci","oc"
"http://lexvo.org/id/iso639-3/msa","may","ms"
"http://lexvo.org/id/iso639-3/gle","gle","ga"
"http://lexvo.org/id/iso639-3/hye","arm","hy"
"http://lexvo.org/id/iso639-3/ind","ind","id"
"http://lexvo.org/id/iso639-3/gmh","gmh",
"http://lexvo.org/id/iso639-3/bos","bos","bs"
"http://lexvo.org/id/iso639-3/aka","aka","ak"
"http://lexvo.org/id/iso639-5/ira","ira",
"http://lexvo.org/id/iso639-5/gem","gem",
"http://lexvo.org/id/iso639-3/akk","akk",
"http://lexvo.org/id/iso639-3/cat","cat","ca"
"http://lexvo.org/id/iso639-3/enm","enm",
"http://lexvo.org/id/iso639-3/tam","tam","ta"
"http://lexvo.org/id/iso639-3/aze","aze","az"
"http://lexvo.org/id/iso639-3/sco","sco",
"http://lexvo.org/id/iso639-3/tel","tel","te"
"http://lexvo.org/id/iso639-5/tai","tai",
"http://lexvo.org/id/iso639-3/fro","fro",
"http://lexvo.org/id/iso639-3/fil","fil",
"http://lexvo.org/id/iso639-3/nno","nno","nn"
"http://lexvo.org/id/iso639-3/phn","phn",
"http://lexvo.org/id/iso639-3/vol","vol","vo"
"http://lexvo.org/id/iso639-3/ang","ang",
"http://lexvo.org/id/iso639-5/phi","phi",
"http://lexvo.org/id/iso639-3/sin","sin","si"
"http://lexvo.org/id/iso639-3/roh","roh","rm"
"http://lexvo.org/id/iso639-5/cpp","cpp",
"http://lexvo.org/id/iso639-3/sqi","alb","sq"
"http://lexvo.org/id/iso639-3/ale","ale",
"http://lexvo.org/id/iso639-3/tli","tli",
"http://lexvo.org/id/iso639-5/ypk","ypk",
"http://lexvo.org/id/iso639-3/hat","hat","ht"
"http://lexvo.org/id/iso639-3/kat","geo","ka"
"http://lexvo.org/id/iso639-3/nob","nob","nb"
"http://lexvo.org/id/iso639-3/aar","aar","aa"
"http://lexvo.org/id/iso639-3/abk","abk","ab"
"http://lexvo.org/id/iso639-3/ace","ace",
"http://lexvo.org/id/iso639-3/ach","ach",
