fdcNumber,conceptId,Keytype,indexTerm-en,indexTerm-de,indexTerm-sv,indexTerm-fi,indexTerm-fr,indexTerm-sl,indexTerm-sp,agrovocConcept,scopeNote,fi-new-term,seÄven,USE-se,RT-se,v2016-se,altLabel-en,altLabel-de,altLabel-sv,altLabel-fi,altLabel-fr,altLabel-sl,altLabel-sp,hiddenLabel-en,hiddenLabel-de,hiddenLabel-sv,hiddenLabel-fi,hiddenLabel-fr,hiddenLabel-sl,hiddenLabel-sp
0,1,,forestry,Forstwirtschaft,skogsbruk,metsätalous,,,silvicultura,c_3055,,,,,,,,,,,,,,,,,,,,
0,2,,forests,Wald,skogar,metsät,,,bosque,c_3062,,,,,,,,,,,,,,,,,,,,
0--011,3,,forest terminology,Forstterminologie,skogsterminilogi,metsäterminologia,,,terminologia forestal,,,,,,,,,,,,,,,,,,,,,
0(031),4,,forest dictionaries,Forstlexicon,skogslexicon,metsäsanakirjat,,,diccionarios forestales,,,,,,,,,,,,,,,,,,,,,
10,5,,environmental factors,Standortsfaktoren,miljöförhållanden,ympäristötekijät,,,factores ambientales,,,,,,,,environment (factors of),,,,,,,,,,,,,
101,6,,site studies,Standortsuntersuchungen,ståndortsundersökningar,kasvupaikkatutkimukset,,,estudios de sitio,,,,,,,,,,,,,,,,,,,,,
11,7,,locality factors,Lagefaktoren,lägefaktorer,sijainnin vaikutus,,,factores de localidad,c_7087,,,,,,,,,,,,,,,,,,,,
11,8,,site factors (abiotic),Standortsfaktoren (abiotische),ståndortsfaktorer (abiotiska),kasvupaikkatekijät (abioottiset),,,factores de crecimiento lugar (abiótico),,,,,,,,abiotic factors,Abiotische Faktoren,abiotiska faktorer,abioottiset tekijät,,,factores abióticos,,,,,,,
111,9,,atmosphere,Atmosphäre,atmosfär,ilmakehä,,,atmósfera ,c_8994,,,,,,,,,,,,,,,,,,,,
111,10,,climate,Klima,klimat,ilmasto,,,clima,c_1665,,,,,,,,,,,,,,,,,,,,
111,11,,dendroclimatology,Dendroklimatologie,dendroklimatologi,dendroklimatologia,,,dendroklimatologia,,,,,,,,,,,,,,,,,,,,,
111,12,,forest climate,Forstklima,skogsklimat,metsäilmasto,,,clima de bosque,,,,,,,,,,,,,,,,,,,,,
111,13,,meteorology,Meteorologie,meteorologi,meteorologia,,,meteorología,c_4783,,,,,,,,,,,,,,,,,,,,
111,14,,microclimate,Mikroklima,mikroklimat,mikroilmasto,,,microclima,c_4802,,,,,,,,,,,,,,,,,,,,
111.0,15,,meteorology: methods,Meteorologie: praktische Methoden,meteorologi: praktiska metoder,"meteorologia, menetelmät",,,"meteorología, métodos",,,,,,,,,,,,,,,,,,,,,
111.0,16,,weather forecasts,Wettervorhersäge,väderprognoser,sääennusteet,,,previsión meteorológica,,,,,,synoptisk meteorologi,,forecasting (meteorological),Vorhersagen: Meteorologische,prognoser: meteorologiska,ennusteet (meteorologiset),,,prognósticos meteorológicos,,,,,,,
111.104,17,,chemistry (atmosphere),Chemie (Atmosphäre),kemi (atmosfär),kemia (ilmakehä),,,química (atmósfera),,,,,,,,"analysis, chemical (atmosphere)","Analyse, chemische: Atmosphäre","analys, kemisk: atmosfär","ilmakehän kemiallinen analyysi|analyysi, kemiallinen (ilmakehä)",,,análisis químico: atmosférico  ,,,,,,,
111.104,18,,composition (atmosphere),Zusammensetzung (Atmosphäre),sammansättning (atmosfär),koostumus  (ilmakehä),,,composición (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.105,19,,structure (atmosphere),Struktur (Atmosphäre),struktur (atmosfär),rakenne  (ilmakehä),,,estructura (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.11,20,,mechanics (atmosphere),Mechanik (Atmosphäre),mekanik (atmosfär),mekaniikka  (ilmakehä),,,mecánica (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.11,21,,thermodynamics (atmosphere),Thermodynamik (Atmosphäre),termodynamik  (atmosfär),termodynamiikka  (ilmakehä),,,termodinámica (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.13,22,,circulation (atmosphere),Zirkulation ((Atmosphäre),cirkulation  (atmosfär),kierto  (ilmakehä),,,circulación (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.15,23,,disturbances (atmosphere),Störungen (Atmosphäre),störningar (atmosfär),häiriöt  (ilmakehä),,,perturbaciones (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.15,24,,formations (atmosphere),Formationen (Atmosphäre),bildningar i (atmosfär),muodostumat  (ilmakehä),,,estados atmosféricos  (atmósfera),,,,,,,,,,,,,,,,,,,,,
111.15,25,,thunderstorms,Gewitter,åskväder,ukonilma,,,tempestad  ,,,,,,,,,,,,,,,,,,,,,
111.21,26,classname,radiation,Strahlung,strålning,säteily,radiation,,irradiación ,,,,,,,,,,,,,,,,,,,,,
111.211,27,,light,Licht,ljus,valo,lumière,,luz ,,,,,,,,,,,,,,,,,,,,,
111.211,28,classname,solar radiation ,Sonnenstrahlung,solstrålning,auringonsäteily,solaire,,irradiación solar ,,,,,,,,,,,,,,insolación ,,,,,,,
111.213,29,,absorption in the atmosphere (radiation),Absorption (Strahlung),absorption i atmosfären (strålning),absorptio ilmakehässä (säteily),,,absorción en la atmósfera (irradiación),,,,,,,,,,absorption: i atmosfären,,,,,,,,,,,
111.213,30,,scattering in the atmosphere  (radiation),Streuung (Strahlung),spridning i atmosfären  (strålning),leviäminen ilmakehässä  (säteily),,,difusión en la atmósfera (irradiación),,,,,,,,,,,,,,,,,,,,,
111.213,31,,transmission in the atmosphere  (radiation),Transmission (Strahlung),transmission i atmosfären  (strålning),transmissio ilmakehässä (säteily),,,transmisión en la atmósfera (irradiación),,,,,,,,,,,,,,,,,,,,,
111.216,32,classname,radiation of particular wavelengths,Strahlung bestimmter Wellenlängen,"strålning, av bestämda våglängder",säteily tietyillä taajuksilla,radiations de longueurs d'onde particulières,,irradiación de determinadas longitudes de onda ,,,,,,,,,,,,,,,,,,,,,
111.219,33,,earth rays,Erdstrahlen,terrester strålning,maasäteily,,,irradiación terrestre ,,,,,,,,earth rays,Erdstrahlen,"strålning, terrester",,,,radiaciones telúricas ,,,,,,,
111.24,34,classname,air temperature,Lufttemperatur,lufttemperatur,ilman lämpötila,température de l'air,,temperatura del aire ,,,,,,,,temperature (air),Temperatur: Luft,"temperatur, luft","lämpötila, ilma",,,"atmósfera, temperatura ",atmosphere (temperature)|,Atmosphäre: Temperatur,"atmosfär, lufttemperatur",ilmakehä: lämpötila,,,
111.24,35,,frost,Frost,frost,pakkanen,gel,,heladas  ,,,,se även,,,,winter frost,Winterfrost,vinterfrost,talvipakkanen,gel d'hiver,,,,,Låg vintertemperatur,,,,
111.24,36,,heat (air temperature),Hitze,värme,lämpö,chaleur,,calor,,,,,,,,,,,,,,,,,,,,,
111.4,37,classname,atmospheric pressure,Luftdruck,lufttryck,ilmanpaine,pression atmosphérique,,presión atmosférica ,,,,,,,,air pressure,,,,,,presión del aire,atmosphere (pressure)|pressure (atmospheric),Atmosphäre: Luftdruck,"atmosfär, lufttryck","ilmakehä, paine",,,
111.5,38,classname,wind,Wind,vind,tuuli,vents,,viento  ,,,,,,,v2016,,,,,,,movimiento del aire,,,luftströmmar,,,,
111.71,39,,humidity (atmosphere),Feuchtigkeit (Atmosphäre),humiditet (atmosfär),kosteus (ilmakehä),humidité,,humedad (atmósfera),,[Hydrologie siehe 116],,,,,,,,,,,,,atmospheric humidity,,,,,,
111.73,40,classname,evaporation,Verdunstung,evaporation,haihdunta,évaporation,,evaporación ,,,,,,,,,,,,,,,,,,,,,
111.74,41,,condensation (atmosphere),Kondensation (in der Atmosphäre),kondensation (atmosfär),kondensaatio (ilmakehä),,,condensación atmosférica,,,,,,,,,,,,,,,,,,,,,
111.74,42,,deposits from atmosphere,Ablagerungen aus der Atmosphäre,avsättning från atmosfären,laskeuma ilmakehästä,,,depósitos atmosféricos ,,,,,,,,,,,,,,,,,,,,,
111.744,43,,condensation in atmosphere on earth's surface,Kondensation (in der Atmosphäre): an der Erdoberfläche,"kondensation, på jordytan",kondensaatio ilmakehässä maan pinnalla,condensations a la surface du sol,,condensación atmosférica sobre la superficie de la tierra ,,,,,,,,,,,,,,,,,,,,,
111.744,44,,deposits from atmosphere: on earth's surface,Ablagerungen aus der Atmosphäre: an der Erdoberfläche,avsättning från atmosfären på jordytan,laskeuma ilmakehästä maan pinnalla,dépôts a la surface du sol,,depósitos atmosféricos sobre la superficie de la tierra ,,,,,,,,,,,,,,,,,,,,,
111.744.1,45,,dew,Tau,dagg,kaste,rosée,,rocío ,,,,,,,,,,,,,,,condensation (in atmosphere) on earth's surface: liquid|deposits from atmosphere: on earth's surface: liquid,Kondensation (in der Atmosphäre): an der Erdoberfläche (flüssig)|Ablagerungen aus der Atmosphäre: an der Erdoberfläche (flüssig),"kondensation, på jordytan (flytande)|avsättning från atmosfären på jordytan (flytande)",kondensaatio ilmakehässä maan pinnalla (nestemäinen)|laskeuma ilmakehästä maan pinnalla  (nestemäinen),,,condensación atmosférica sobre la superficie de la tierra (líquida (rocîo))
111.744.2,46,,black ice,Schwarzeis,svartis,musta jää,glace noire,,hielo negro,,,,,,,,,,,,,,,,,,,,,depósitos atmosféricos sobre la superficie de la tierra (líquido (rocío))
111.744.2,47,,glazed ice,Glatteis usw.,glattis,iljanne,verglas,,hielo glazeado,,,,,,,,ice (glazed),,,,,,,deposits from atmosphere: on earth's surface (solid),Ablagerungen aus der Atmosphäre: an der Erdoberfläche (fest),avsättning från atmosfären på jordytan (fast),"laskeuma maan pinnalla, kiinteä",,,depósitos atmosféricos sobre la superficie de la tierra (sólido)
111.744.2,48,,hoar-frost,Reif,isbark,kuura,gelée blanche ,, helada blanca,,,,,,,,,,,,,,,condensation in atmosphere on earth's surface: solid,Kondensation (in der Atmosphäre): an der Erdoberfläche (fest),"kondensation, på jordytan (fast)","kondensaatio maan pinnalla, kiinteä",,,condensación atmosférica sobre la superficie de la tierra (sólido)
111.744.2,49,,ice storm,Ice storm,isstorm,jäämyrsky,tempête de verglas,,tormenta de nieve,,,,,,,,,,,,,,,,,,,,,
111.744.2,50,,rime,Rime ,rimfrost,huurre,givre,,escarcha,,,,,,,,,,,,,,,,,,,,,
