1;"heraldiikka {@fi}";"heraldika {@et}";"heraldika {@hu}";"heraldry {@en}";"heraldiek {@nl}";"Heraldik {@de}";"heraldik {@sv}";"heraldikk {@nb}";"heraldikk {@nn}";"heraldik {@da}";"skjaldarmerkjafræði {@is}";"heraldika {@lt}";"heraldika {@lv}";"heraldika {@sq}";"εραλδική {@el}";"heraldica {@la}";"araldica {@it}";"héraldique {@fr}";"heráldica {@es}";"heràldica {@ca}";"heráldica {@pt}";"heraldică {@ro}";"heraldyka {@pl}";"heraldika {@cs}";"heraldika {@sk}";"heraldika {@sl}";"heraldika {@hr}";"хералдика {@sr}";"хералдика {@bg}";"геральдика {@ru}";"геральдыка {@be}";"геральдыка {@uk}";"Q18336"
2;"vaakuna {@fi}";"vapp {@et}";"címer {@hu}";"coat of arms {@en}";"wapen {@nl}";"Wappen {@de}";"vapen {@sv}";"våpen {@nb}";"våpen {@nn}";"våben {@da}";"skjaldarmerki {@is}";"herbas {@lt}";"ģerbonis {@lv}";"stema {@sq}";"θυρεός {@el}";"insigne {@la}";"stemma {@it}";"blason {@fr}";"escudo de armas {@es}";"escut d'armes {@ca}";"brasão {@pt}";"stemă {@ro}";"herb {@pl}";"erb {@cs}";"erb {@sk}";"grb {@sl}";"grb {@hr}";"грб {@sr}";"герб {@bg}";"герб {@ru}";"герб {@be}";"герб {@uk}";"Q14659"
3;"vaakunaselitys {@fi}";"vapikirjeldus {@et}";"címerleírás {@hu}";"blazon {@en}";"blazoenering {@nl}";"Blasonierung {@de}";"vapenbeskrivning {@sv}";"blasonering {@nb}";"blasonering {@nn}";"blasonering {@da}";;"blazonavimas {@lt}";"blazonējums {@lv}";;"τυπική περιγραφή {@el}";"explicatio {@la}";"blasonatura {@it}";"blasonnement {@fr}";"blasonamiento {@es}";"blasonament {@ca}";"brasonamento {@pt}";"blazonare {@ro}";"blazonowanie {@pl}";"blason {@cs}";"blazón {@sk}";;"blazoniranje {@hr}";"блазон {@sr}";"блазон {@bg}";"геральдический язык {@ru}";"геральдычны мова {@be}";"геральдична мова {@uk}";"Q494452"
4;"jako {@fi}";"jaotis {@et}";"pajzstagolás {@hu}";"partition {@en}";"verdeling {@nl}";"Schildteilung {@de}";"delning {@sv}";"deling {@nb}";"deling {@nn}";"deling {@da}";"hlutdeild {@is}";"dalijimas {@lt}";"dalījums {@lv}";"ndarje {@sq}";"χώρισμα [partition] {@el}";"partitio {@la}";"partizione {@it}";"partition {@fr}";"partición {@es}";"partició {@ca}";"partição {@pt}";"partiţiune {@ro}";"podział {@pl}";"dělení štítu {@cs}";"delenia {@sk}";"delitev {@sl}";"diobe {@hr}";"деобе {@sr}";"делене {@bg}";"деление щита {@ru}";"дзяленне шчыта {@be}";"ділення щита {@uk}";"Q260703"
5;"airutkuvio {@fi}";"ordinaar {@et}";"mesteralak {@hu}";"ordinary {@en}";"herautstuk {@nl}";"Heroldsbild {@de}";"häroldsbild {@sv}";"heroldsfigur {@nb}";"heroldsfigur {@nn}";"heraldisk figur {@da}";;"heroldinė figūra {@lt}";"heraldiskais gabals {@lv}";;"χώρισμα [ordinary] {@el}";"figura heraldica {@la}";"pezza {@it}";"pièce {@fr}";"pieza {@es}";"peça {@ca}";"peça {@pt}";"piesă {@ro}";"figura heraldyczna {@pl}";"heroldská figura {@cs}";"heroldská figúra {@sk}";"heraldična figura {@sl}";"heraldički lik {@hr}";"хералдична фигура {@sr}";"гербова фигура {@bg}";"геральдическая фигура {@ru}";"геральдычная фігура {@be}";"геральдична фігура {@uk}";"Q1076566"
6;"yleiskuvio {@fi}";"tavaline figuuri {@et}";"címerkép {@hu}";"common charge {@en}";"gewoon stuk {@nl}";"gemeine Figur {@de}";"allmän bild {@sv}";"alminnelig figur {@nb}";;"figur {@da}";;"mobilioji figūra {@lt}";"neheraldiskā figūra {@lv}";;"κοινό στοιχείο {@el}";"figura vulgaris {@la}";"mobile {@it}";"meuble {@fr}";"mueble {@es}";"moble {@ca}";"figura {@pt}";"mobilă {@ro}";"mobilia {@pl}";"obecná figura {@cs}";"figúra všeobecná {@sk}";;"naravni lik {@hr}";;"негералдична фигура {@bg}";"гербовая фигура {@ru}";"гербавая фігура {@be}";"гербова фігура {@uk}";"Q3744866"
7;"tarkenne {@fi}";"kvalifikaator {@et}";"specifikáció {@hu}";"qualifier {@en}";"qualifier {@nl}";"Spezifikation {@de}";"specifikation {@sv}";"spesifikasjon {@nb}";"spesifikasjon {@nn}";"specifikation {@da}";"lýsing {@is}";"specifikacija {@lt}";"specifikācija {@lv}";"specifikim {@sq}";"προσδιορισμός {@el}";"qualitas {@la}";"qualificatore {@it}";"qualificateur {@fr}";"calificador {@es}";"qualificador {@ca}";"qualificador {@pt}";"calificativ {@ro}";"kwalifikator {@pl}";"kvalifikace {@cs}";"kvalifikácia {@sk}";"kvalifikant {@sl}";"kvalifikator {@hr}";"квалификатор {@sr}";"уговорка {@bg}";"спецификатор {@ru}";"спецификатор {@be}";"специфікатор {@uk}";
8;"vaakunakokonaisuus {@fi}";"vapikomplekt {@et}";"címer [2] {@hu}";"achievement {@en}";"wapenbord {@nl}";"Vollwappen {@de}";"fullständigt vapen {@sv}";"heraldisk våpen {@nb}";"heraldisk våpen {@nn}";"heraldisk våben {@da}";;"heraldinis herbas {@lt}";"pilnā ģerboņa {@lv}";;"πλήρες έμβλημα {@el}";"arma plena {@la}";"stemma araldico {@it}";"éléments des armoiries {@fr}";"escudo heráldica {@es}";"escut heràldic {@ca}";"realização {@pt}";;"elementy herbu {@pl}";"úplný erb {@cs}";"úplný erb {@sk}";;"heraldički grb {@hr}";"хералдички грб {@sr}";;"полный герб {@ru}";"поўны герб {@be}";"повний герб {@uk}";"Q2532754"
9;"yleiskäsite {@fi}";"üldmõiste {@et}";"általános fogalom {@hu}";"general concept {@en}";"algemeen concept {@nl}";"allgemeines Konzept {@de}";"generellt koncept {@sv}";;;;;;;;;"conceptus generalis {@la}";"concetto generale {@it}";"concept général {@fr}";"concepto general {@es}";"concepte general {@ca}";"conceito geral {@pt}";"concept general {@ro}";"ogólny koncept {@pl}";"základní pojetí {@cs}";"základné poňatie {@sk}";;;;;"основное понятие {@ru}";"асноўнае паняцце {@be}";"основне поняття {@uk}";
10;"kilpi {@fi}";"kilp {@et}";"pajzs {@hu}";"escutcheon {@en}";"schild {@nl}";"Schild {@de}";"sköld {@sv}";"skjold {@nb}";"skjold {@nn}";"skjold {@da}";"skjöldur {@is}";"skydas {@lt}";"vairogs {@lv}";"shqyti {@sq}";"ασπίδα {@el}";"scutum {@la}";"scudo {@it}";"écu {@fr}";"escudo {@es}";"escut {@ca}";"escudo {@pt}";"scut {@ro}";"tarcza {@pl}";"štít {@cs}";"štít {@sk}";"ščit {@sl}";"štit {@hr}";"штит {@sr}";"щит {@bg}";"щит {@ru}";"тарк {@be}";"щит {@uk}";"Q331357"
