vastuu,lc,lpref,lalts,lLTs,PÄÄTÖS,KOMMENTIT,yc,ypref,yLTs,tyyppi
,http://urn.fi/URN:NBN:fi:au:lapponica:L1,ahkiot,,,ei löydy,,,,,
,http://urn.fi/URN:NBN:fi:au:lapponica:L4,ahma,,petoeläimet,exactMatch,,http://www.yso.fi/onto/yso/p15810,ahma,näätäeläimet,K
,http://urn.fi/URN:NBN:fi:au:lapponica:L6,akkalansaame,,saamen kieli; kuolansaame,ei löydy,,,,,
,http://urn.fi/URN:NBN:fi:au:lapponica:L9,akkulturaatio,,,exactMatch,,http://www.yso.fi/onto/yso/p7905,akkulturaatio,sosiaalinen muutos; kulttuurin muutos,K
,http://urn.fi/URN:NBN:fi:au:lapponica:L1153,Alaska,,Arktis,exactMatch,,http://www.yso.fi/onto/yso/p105866,Alaska,Yhdysvallat,P
,http://urn.fi/URN:NBN:fi:au:lapponica:L12,aleutin kieli,,,exactMatch,,http://www.yso.fi/onto/yso/p24283,aleutin kieli,eskimo-aleuttilaiset kielet,K
,http://urn.fi/URN:NBN:fi:au:lapponica:L14,aleutit,,alkuperäiskansat (Pohjoiset kansat),exactMatch,,http://www.yso.fi/onto/yso/p25233,aleutit,väestöryhmään liittyvä rooli,K
,http://urn.fi/URN:NBN:fi:au:lapponica:L17,alkuperäiskansat (Pohjoiset kansat),,,"broadMatch
","YSOsta löytyy alkuperäiskansat, mutta tämä on rajattu pohjoisiin",,,,
,http://urn.fi/URN:NBN:fi:au:lapponica:L34,allasalueet,,vesistöjen säännöstely,exactMatch,,http://www.yso.fi/onto/yso/p3809,allasalueet,ihmisen määrittämät alueet,K
Tuomas,http://urn.fi/URN:NBN:fi:au:lapponica:L40,alppilajit,,talviurheilu,exactMatch,käsitteet ovat eri hierarkioissa,http://www.yso.fi/onto/yso/p8333,alppilajit,urheilulajit,K
Tuomas,http://urn.fi/URN:NBN:fi:au:lapponica:L45,Altan tapahtumat,,,ei löydy,,,,,
Tuomas,http://urn.fi/URN:NBN:fi:au:lapponica:L47,aluebibliografiat,paikallisbibliografiat,,exactMatch,,http://www.yso.fi/onto/yso/p17969,aluebibliografiat,bibliografiat (luettelot),K
Tuomas,http://urn.fi/URN:NBN:fi:au:lapponica:L49,alueellinen identiteetti,,identiteetti,exactMatch,,http://www.yso.fi/onto/yso/p8127,alueellinen identiteetti,identiteetti,K
