P1. Housing,P2. Built environment,P3. Services for families,P4. Social services,"P5 Health and medical care, nutrition",P6. Education and training,P7. Legal protection,P8. Democracy,P9 Administration,P10. Work and unemployment,P11. Industries,P12. Employer services,P13. Pensions,P14. Taxation and public finance,P15. Private finance and funding,P16. Transport,P17. Tourism,P18. Maps,P19. Safety and security,P20. Public order,P21. Consumer matters,P22. Immigration and emigration,P23. The environment,"P24. Natural resources, flora and fauna",P25. Culture,P26. Communications,P27. Sports and outdoor activities
"This service class includes seeking, finding and purchasing a residence, different housing forms, housing benefits, processes and services related to migration within Finland, as well as services associated with the Population Information System.",This service class contains public and residential buildings as well as municipal infrastructure and related services associated with buildings and their use in general.,"This service class contains services for families with children, mainly covering the period from pregnancy until a young person turns 18. In the contents of this service class, family services are examined from the perspective of different actors, situations and viewpoints.","This service class contains both general social services and those targeted at special groups to support citizens’ everyday life management, housing and incomes.","This service class contains health and medical care services, both general services and those intended for specific groups. It also includes services associated with medicines and nutrition, as well as rehabilitation for the part of health care related and medical rehabilitation.","This service class contains education services within the scope of compulsory education, secondary level education and training services, higher education as well as adult, further and continuing education and training. Financial support for studies, studying abroad and services related to scientific work are also included in this class.","This service class contains services related to fundamental rights, legislation, court processes and instances, protection of privacy, citizenship and minorities as well as copyrights. Rather than being included in this class, consumer issues have a main class of their own.","This service class includes services and information related to representative democracy. Particularly prominent in it are political parties, the election system and voting as well as services provided by the civic society and the third sector.","The contents of service class will be produced later. For the time being, do not use this class in service description.","This service class contains seeking and finding a job, working life contracts, agreements and rules, maintaining work ability, benefits received while unemployed and looking for work, and NGO activities for the unemployed.",This service class contains all services related to enterprising from the establishment of an enterprise to business development and winding up a company.,"This service class contains all aspects of acting as an employer, including recruiting employees and personnel development.",This service class contains the Finnish statutory pension types and the pension security of those permanently resident abroad from the perspective of both expatriate Finns and immigrants residing in Finland from the service point of view.,This service class contains issues related to key types of individual and corporate taxation and central and local government finance from the service point of view.,"This service class contains the financial affairs and debts of individuals and companies, bankruptcies and enforcement as well as the activities of banks and financial markets from the perspective of depositors, investors and applicants for funding.","This service class contains public transport, registration, tax and permit issues related to vehicles, professional transport and traffic safety from the service point of view. Tourism and map services are excluded from this class and have their own service classes.","This service class contains tourism services, travel documents, border services, traveller’s safety and the services of Finland's foreign missions.",This service class contains different map services and geographic information offered as a service.,"This service class contains services related to accidents, crime and safety in a time of crisis from the perspective of both citizens and society. The class includes preventive activities, rescue services and activities related to national security.","This class contains the maintenance of public order, safety and security in normal conditions. Primarily, the class includes the services of the police and other parties responsible for maintaining order.",This service class includes consumer protection and consumer rights from the perspective of trade in goods and services as well as insurance.,"This service class includes issues related to foreign citizens who migrate to Finland and Finnish citizens who emigrate from and remigrate to Finland. The class contains statutory procedures, including permits and notifications, as well as different support and advisory services.","This service class contains services related to the environment, including both natural environments and living and other built environments.","This service class contains natural resources, including flora and fauna, mainly seen from the perspective of commercial production.","This service class contains a wide range of cultural services associated with different branches of arts, the library system, religious organisations and liberal adult education. The class also includes different free time services.","This service class contains communications from the perspective of mass communication and electronic communication, freedom of speech, privacy, domain names, and postal services from the viewpoint of regulations and basic services. The class includes the Finnish Broadcasting Company, the Council for Mass Media, telecommunications and internet operators and statutes on communication.","This service class contains services related to keep-fit exercise, outdoor exercise and free-time activities in nature."
P1.1. Rental housing,P2.1. Construction,P3.1. Intimate relationship,P4.1. Housing services,P5.1. Primary health care,P6.1. Pre-school education,P7.1. Citizens’ fundamental rights,P8.1. Political parties,,P10.1. Jobseeking and jobs,P11.1. Establishing an enterprise,P12.1. Services for employers,P13.1. National pension,P14.1. Individual taxation,P15.1. Financial and debt advisory services for individuals,P16.1. Vehicles and registration in road transport,P17.1. Tourism in Finland,P18.1. Maps and map services,P19.1. Fire and rescue activities,P20.1. Maintaining public order and licences and permits granted by the police,P21.1. Consumer protection,P22.1. Authorisations to enter and documents,P23.1. Environmental protection and conservation,P24.1. Wild plants and animals,P25.1. Libraries and information services,P26.1. Mass media,P27.1. Sports and exercise
"This service subclass contains services related to the availability and price information of rental residences, lease agreement issues, a lodger’s rights and duties, as well as letting and subletting. It also includes services related to seeking and obtaining a rented residence.","This subclass contains issues related to construction from the point of view of services for private builders. Key issues include permits and permit processes of construction, ensuring appropriate building control, renovations and repairs as well as tax issues relevant to construction.","This service subclass concerns marriages, cohabitation and registered partnerships, the statutory duties and rights that are part of different types of relationships, any legal agreements that might be associated with a relationship, and the processes of dissolving a relationship.","This service subclass contains especially housing and supported housing solutions for older people and the disabled (supported housing, sheltered housing and sheltered housing with 24-hour assistance), the associated benefits and assistive and support devices used at home. This class does not include home care and home nursing services, for example, which have their own classes.","This service subclass contains services that meet the following definition of primary care: “The task of primary health care is to maintain, support and improve citizens’ health, well-being, and work and functional ability by offering health and medical care services. The main service forms are visits made by municipal residents to the surgeries of nurses and doctors at different levels and 24-hour medical care at health centres. The activities are primarily based on the legislation that regulates municipal health care.”","This service subclass contains pre-school education itself and its contents, the local organisation of pre-school education, and alternatives for children and their parents.","This service subclass contains services derived from the Finnish national legislation associated with the right to vote, freedom of speech, religion and assembly, and national and minority languages. The class also includes services associated with the rights of an EU citizen.",This service subclass contains the establishment and registration of a political party as well as issues related to party subsidies from the service point of view.,,"This service subclass contains many services intended for the unemployed. Supported by them, jobseekers may, for example, look for vacancies in Finland and abroad and submit their applications, register as unemployed jobseekers, prepare a CV and submit open applications to web services for jobseekers. The class also includes such services as coaching for jobseekers and labour market training.","This service subclass contains grants and funding services intended for the startup phase, advice related to establishing an enterprise and information events.","This service subclass contains aspects related to the role of an employer, including the employer's obligations.",This service subclass contains issues related to the national pension and guarantee pension from the service point of view.,"This service subclass contains services related to prepayment of tax on an earned income, tax cards and tax rate changes, tax proposals, tax deductions and tax calculators. The class also includes church tax.","This service subclass contains services intended to either proactively support individuals and households in handling money and financial management, or to assist those already facing financial difficulties.","This service subclass contains services related to the ownership, importation, registration and road-worthiness of road transport vehicles.","This service subclass contains information, journey planning and accommodation services in domestic tourism.","This service subclass contains national and regional topographic and guide maps offered as public electronic services, thematic map services, such as hiking maps, journey planning services and specialised map services for waterborne traffic and air traffic.",This service subclass contains local and national fire and rescue services.,This service subclass contains services related to the maintenance and monitoring of public order by the authorities and parties authorised by them. It also includes licence and permit issues for which the police are responsible.,"This service subclass contains consumer rights and information services associated with them, complaints, returns and processing of disputes. The class includes trade in goods (in-store and online purchases), tourism services and other immaterial services.","This service subclass contains documents required for entry into Finland, applying for these documents and their use.","This service subclass primarily includes procedures that prevent environmental nuisances, including controlling known negative impacts, conservation of species, creating natural areas as well as training and advisory services.","This service subclass contains services related to wild plants and animals, including licences, reporting of sightings and different information services.","This service subclass is associated with municipal and national general and specialist libraries and their services as well as specialised information services provided by different organisations, both online and at service points.","This service class contains the conventional mass media (radio, television, press) with their various services, operating licences related to mass media as well as questions of freedom of speech.","This service subclass contains sports facilities, sports institutes and their services, exercise information services and the activities of sports clubs and sports associations."
P1.2. Owner-occupied housing,P2.2. Renovation and energy grants,P3.2. Having a child,P4.2. Services for older people,P5.2. Health clinic services,P6.2. Basic education,P7.2. Acts and decrees,P8.2. Elections,,P10.2. Career guidance and career planning,P11.2. Sector-specific permits and obligations,P12.2. Recruitments,P13.2. Earnings-related pensions,P14.2. Net wealth taxation,P15.2. Financial and debt advisory services for companies,P16.2. Driving instruction and driving permits in road transport,P17.2. Tourism in the EU area,P18.2. Geographic information services,P19.2. Civil defence,P20.2. Organisation of public events,P21.2. Insurance,P22.2. Immigrants’ employment and studies,P23.2. Waste management,P24.2. Plant production,P25.2. Arts,P26.2. Postal services,P27.2. Hiking
"This service subclass contains all funding and tax issues related to a residence, services associated with the sales price information of residences, terms and conditions of a deal and possible disputes. It also includes services related to seeking and purchasing an owner-occupied residence.",This service subclass contains grants for renovations and improving a building’s energy efficiency as well as the application processes and e-services related to these grants from the service point of view.,This service subclass contains services and financial support available for families during pregnancy and a child's infancy. It also includes fertility treatments and adoptions as well as issues related to naming a child.,"This service subclass contains services for older people, excluding housing services and including rehabilitation, transport and befriending services among other things.",This service subclass contains the statutory maternity and child health clinic services organised by the municipalities and the clinics’ various forms of activities.,"This service subclass contains basic education itself with its contents and objectives as well as the services offered directly in connection with and in support of basic education, for example school transport, school lunches and an assistant’s services. The class also includes issues related to completing abroad a basic education that is in line with the Finnish basic education.","This service subclass contains services intended to give the citizens access to valid legislation, inform the citizens of legislative projects and facilitate citizens’ participation in legislative drafting and consultation processes in different ways.","This service subclass contains the criteria for the right to vote, the procedures for becoming a candidate in national, municipal or European Parliament elections, informing voters about elections, services and monitoring related to election financing as well as information services concerning the results of elections.",,"This service class contains services that primarily help jobseekers, either are at the beginning of their careers or unemployed, to embark on a path of employment or education best suited for them. Career guidance services for pupils and students are included in their own subclass under the main class Education and training.","This service subclass contains obligations associated with enterprising, which may be related to obtaining permits, submitting notifications or completing registrations.",This service subclass contains services related to recruiting and hiring employees.,This service subclass contains earnings-related pensions from the service point of view: earnings-related pensions for private sector employees and local and central government employees. The class also includes pension insurance.,"This service subclass contains services related to net wealth taxation. It includes the taxation of inheritances, gifts, rental income, sales profits and properties among other things. It also includes wealth tax calculators and similar tools.","This class contains issues related to financial difficulties of companies, including advice on reorganisation and debt management.",This service subclass contains driving permits for road transport vehicles as well as instruction leading to these permits and examinations in which the permits are granted.,This service subclass contains an EU citizen’s rights as a tourist in the EU area as well as the rules and restrictions of importation for personal use.,This service subclass contains services that offer geographic information in data format on built and natural environments in Finland.,"This service subclass is associated with civil defence shelters, civil defence training and other services and activities related to the protection of civilians in a crisis as well as security of supply.","This service subclass contains the services and mandatory procedures associated with organising open events and public meetings in public places, including demonstrations.","This service subclass contains statutory and voluntary insurance policies, taking out of policies and policy terms, compensation procedures and complaints on insurance decisions.","This service subclass contains permits that a foreign citizen needs to work or study in Finland, and the support services offered in the education and labour markets.","This service subclass contains statutory municipal waste management, local research and studies related to waste as well as information services on waste.","This service subclass contains services associated with professional plant production, including production subsidies, pest control and crop damage compensation.","This service subclass contains vocational and higher level education and training related to visual arts, arts and design, different performing arts, music and literature, exhibitions and events intended for the public as well as information services associated with art collections.",This service class contains the services that have been defined as public service tasks under the Act on Postal Service.,"This service subclass contains the recreational use of nature, which includes public access rights, hiking areas and maps, nature centres and national parks."
P1.3. Partial ownership and right-of-occupancy housing,"P2.3. Land use, land use planning and sites",P3.3. Confirmation of paternity,P4.3. Home care and home services,P5.3. Vaccinations,P6.3. Morning and afternoon club activities,P7.3. Legal protection and legality,P8.3. Civic participation,,P10.3. Working life rules and collective agreements,P11.3. Business development,P12.3. A household as an employer,P13.3. Disability pension,P14.3. Vehicle taxation,P15.3. Loans and credit history,P16.3. Traffic safety and rules of the road,P17.3. Tourism outside the EU area,,P19.3. Emergency numbers and accidents,P20.3. Lost and found property,,P22.3. Language courses,P23.3. Water supply,P24.3. Production animals,P25.3. Museums,P26.3. Data communications,P27.3. Boating
This service subclass contains the application and funding procedures as well as application criteria related to these housing forms. It also includes services related to seeking and purchasing a partial ownership or right-of-occupancy residence.,"This service subclass contains regional land use plans, local master plans and local detailed plans, possibilities of influencing these plans, and the sales and leasing of zoned land and sites, including commercial sites.",This service subclass contains procedures and obligations related to the acknowledgement and confirmation of paternity.,"This service subclass contains especially services related to the home care of and home services for older people and persons with disabilities to provide assistance with cleaning, personal hygiene, cooking etc. The class excludes actual home nursing services, which have their own subclass.","This service subclass approaches vaccinations as a primary health care service, national health programmes and an issue relevant to a citizen's health history.","This service subclass contains the morning and afternoon activities organised by a municipality intended to support the educational work of the home and the school and the child’s balanced growth, in addition to offering opportunities for both instructor-led activities and a supervised rest period outside the home.","This service subclass contains services through which citizens can monitor the legality of the authorities’ actions, read public documents and report errors in the authorities’ actions. The class also includes the protection of fundamental rights and processing of their violations, as well as issues related to limiting companies’ rights.",This service subclass contains the political and social participation of citizens and non-governmental organisations outside the elections from the service point of view. The class includes the procedures for establishing and registering an association and submitting citizen’s and local resident’s initiatives.,,"This service subclass contains issues related to employment contracts and terms of employment, pay, and equality and flexibility in working life, including telework and part-time work, from the service point of view.","This service subclass contains grants and other funding services to support business development, business development programmes and business advice services.",This service subclass contains services through which a household can have work performed in a home or a secondary residence and take care of issues related to the employee’s pay and taxes and the domestic help credit.,This service class contains services related to establishing disability and different types of disability pensions.,"This service subclass contains services related to purchasing cars and other vehicles, one-off taxes paid on importation (car tax) and owning a vehicle (vehicle tax).","This service subclass contains services related to borrowing, loan guarantees and repayment, social lending as well as the credit register and defaults of payment. The class also includes services related to business loans.",This service subclass contains road safety from the perspective of both rules of the road and recommendations and instructions. The class also includes information services on traffic disruptions and hazards and traffic weather information services.,"This service subclass includes travel advisories for different countries and recommended vaccinations, safety instructions, international driving licences, visa practices and electronic travel authorisations, such as ESTA and eTA.",,"This service subclass contains the 112 emergency number, specific emergency service numbers of different authorities as well as rescue and crisis services related to accidents both on scene and as part of post-incident management. The class also includes services aiming to prevent accidents and accident investigation.","This class contains taking items to a lost and found service and the procedures related to storing, enquiring for and handing to their owners of lost property.",,"This service subclass contains Finnish and Swedish language courses, in particular those that are part of integration programmes but also others intended for the early phases of an immigrant's stay in Finland, and applying for a place on these courses.","This service subclass primarily contains issues related to handling sewage in built environments from business premises, permanent dwellings and secondary residences alike.","This service subclass contains services related to production animals, including production subsidies, notification duties, compensation for damage to animals and general obligations related to animal welfare.","This service subclass is associated with the physical service points and exhibition activities of museums, issues related to the protection of building heritage, as well as electronic services in the museum sector, including information services and digitalisation of cultural heritage.","This service class contains the services of network operators, dissemination of information on network issues, Internet security, availability and use of domain names as well as the consumer’s position as a data communications user.","This service subclass contains marinas and moorings, boating safety, rules and regulations, maps of water areas and boating-related training."
P1.4. Housing benefits,P2.4. Properties,P3.4. Day-care for children,P4.4. Services for the disabled other than housing and home services,"P5.4. Imaging, laboratory and other examination services",P6.4. Career guidance and guidance counselling,P7.4. Court proceedings and criminal matters,P8.4. Activities of non-governmental organisations,,P10.4. Work ability and vocational rehabilitation,P11.4. Product and service development,P12.4. Personnel development,P13.4. Pension security for expatriate Finns,P14.4. Corporate taxation,P15.4. Bankruptcy,P16.4. Parking,,,P19.4. Crime,,,P22.4. Citizenship applications,P23.4. Environmental notifications and permits,P24.4. Food production,P25.4. Archives,,P27.4. Hunting
"This service subclass includes different benefit types, eligibility criteria in different population groups and situations, the grounds for the benefit amounts and benefit calculators.",This service subclass contains property information as well as the trade and taxation of properties from the service point of view.,"This service subclass contains a child’s rights related to day-care for young children, eligibility criteria, e-services and application procedures associated with day-care, different forms and service channels of day-care provision, fees charged for day-care and financial support related to the fees.","This service subclass contains services for persons with disabilities, excluding housing services and including rehabilitation, interpretation and transport services.",This service subclass contains different clinical patient examination services provided at health care service points. Laboratory services associated with scientific research are not included in this class.,"This service subclass contains services offered within the Finnish education system intended to guide, advise and direct a pupil or a student in making justified choices when choosing a career and/or an educational path. Career guidance services for persons already in the labour market are included in their own subclass under the main class Work and unemployment.","This service subclass contains reporting an offence, services of the judicial system and prosecution service, legal aid and criminal sanctions matters.","This service subclass contains issues related to the activities of organisations and associations and the legality of these activities, including permit procedures for collecting signatures and funds as part of campaigning.",,"This service subclass contains services that aim in different ways to promote a persons's work ability or, once an employee’s work ability already has declined, restoring it through methods of vocational rehabilitation.","This service subclass contains grants and other funding services that support companies’ product and service development, product development programmes and advice related to such areas as inventions and patents.",This service subclass contain services intended for employers associated with such areas as personnel training.,This service subclass contains the pension effects of work performed abroad by Finnish citizens and also situations where a person has earned a pension for work performed in Finland but has since moved abroad. The class also includes pension agreements between countries and the taxation of pensions accrued abroad.,"This service subclass contains issues related to corporate taxation, including services that support the submission of tax returns.","This service subclass contains services related to declaring bankruptcy, filing for bankruptcy, tasks of the Bankruptcy Ombudsman and different phases of the bankruptcy process. The class includes the bankruptcies of both natural persons and companies.",This service subclass contains local parking areas and their information as well as electronic parking services.,,,"This service subclass contains reports of offences, crime tip-off lines and legal aid and support services for victims.",,,"This service subclass contains procedures, obligations and services associated with the process of applying for Finnish citizenship.","This service subclass contains the notification and permit procedures associated with actions that permanently change the environment or are potentially harmful for the environment, including mining or chemicals that pose an environmental hazard.","This service subclass includes services related to food safety, supervision of food production and organic production.","This service subclass mainly contains the services of the National Archives Service, the Provincial Archives subordinate to it as well as other statutory archives.",,"This service subclass contains hunting seasons and quotas, hunters’ qualifications and licences, game management associations and reporting large carnivore sightings."
P1.5. Migration within Finland and population information,P2.5. Premises,P3.5. Family mediation and family law,P4.5. Personal assistant services,P5.5. First aid and emergency care,P6.5. Applying for a place in education and training,P7.5. Data protection and personal data,,,P10.5. Occupational safety,P11.5. Business cooperation and networking,,P13.5. Pension security in Finland for foreigners who are permanently resident in the country,P14.5. Public finance and public procurements,P15.5. Enforcement,P16.5. Public transport,,,P19.5. National defence,,,P22.5. Moving from Finland to another Nordic country,P23.5. Building heritage and cultural environments,P24.5. Veterinary services,P25.5. Free-time services,,P27.5. Fishing
