uri;puhumavaltio
http://www.yso.fi/onto/yso/p104968;Ranska
http://www.yso.fi/onto/yso/p104984;Kiina
http://www.yso.fi/onto/yso/p104989;Nigeria
http://www.yso.fi/onto/yso/p105032;Meksiko
http://www.yso.fi/onto/yso/p105078;Yhdysvallat
http://www.yso.fi/onto/yso/p105098;Etelä-Afrikka
http://www.yso.fi/onto/yso/p105116;Australia
http://www.yso.fi/onto/yso/p105189;Filippiinit
http://www.yso.fi/onto/yso/p105190;Alankomaat
http://www.yso.fi/onto/yso/p105195;Irlanti
http://www.yso.fi/onto/yso/p105234;Singapore
http://www.yso.fi/onto/yso/p105235;Kenia
http://www.yso.fi/onto/yso/p105269;Kuuba
http://www.yso.fi/onto/yso/p105377;Kanada
http://www.yso.fi/onto/yso/p105378;Peru
http://www.yso.fi/onto/yso/p105510;El Salvador
http://www.yso.fi/onto/yso/p105511;Nicaragua
http://www.yso.fi/onto/yso/p105885;Zimbabwe
http://www.yso.fi/onto/yso/p106015;Ghana
http://www.yso.fi/onto/yso/p106044;Uganda
http://www.yso.fi/onto/yso/p106419;Kolumbia
http://www.yso.fi/onto/yso/p107068;Honduras
http://www.yso.fi/onto/yso/p107069;Costa Rica
http://www.yso.fi/onto/yso/p107112;Jamaika
http://www.yso.fi/onto/yso/p107681;Venezuela
http://www.yso.fi/onto/yso/p108007;Argentiina
http://www.yso.fi/onto/yso/p108111;Chile
http://www.yso.fi/onto/yso/p108180;Guinea
http://www.yso.fi/onto/yso/p108325;Burkina Faso
http://www.yso.fi/onto/yso/p108647;Bolivia
http://www.yso.fi/onto/yso/p108648;Ecuador
http://www.yso.fi/onto/yso/p108649;Paraguay
http://www.yso.fi/onto/yso/p108650;Uruguay
http://www.yso.fi/onto/yso/p108660;Bahama
http://www.yso.fi/onto/yso/p109166;Madagaskar
http://www.yso.fi/onto/yso/p109169;Mauritania
http://www.yso.fi/onto/yso/p109174;Norsunluurannikko
http://www.yso.fi/onto/yso/p109197;Saint Kitts ja Nevis
http://www.yso.fi/onto/yso/p109198;Saint Lucia
http://www.yso.fi/onto/yso/p109199;Saint Vincent ja Grenadiinit
http://www.yso.fi/onto/yso/p109204;Sierra Leone
http://www.yso.fi/onto/yso/p109210;Suriname
http://www.yso.fi/onto/yso/p109211;Antigua ja Barbuda
http://www.yso.fi/onto/yso/p109212;Togo
http://www.yso.fi/onto/yso/p109214;Trinidad ja Tobago
http://www.yso.fi/onto/yso/p109215;Tšad
http://www.yso.fi/onto/yso/p109218;Barbados
http://www.yso.fi/onto/yso/p109224;Belize
http://www.yso.fi/onto/yso/p109225;Benin
http://www.yso.fi/onto/yso/p109232;Dominica
http://www.yso.fi/onto/yso/p109233;Dominikaaninen tasavalta
http://www.yso.fi/onto/yso/p109289;Gabon
http://www.yso.fi/onto/yso/p109290;Gambia
http://www.yso.fi/onto/yso/p109291;Grenada
http://www.yso.fi/onto/yso/p109292;Guinea-Bissau
http://www.yso.fi/onto/yso/p109293;Guyana
http://www.yso.fi/onto/yso/p109294;Haiti
http://www.yso.fi/onto/yso/p110631;Kongon demokraattinen tasavalta
http://www.yso.fi/onto/yso/p94407;Senegal
http://www.yso.fi/onto/yso/p94439;Tanska
http://www.yso.fi/onto/yso/p94479;Venäjä
